Kelle,Ayishatu
Aborko,Alidu
Meber,Robert
Bouame,Martin
Isa,Nimorti
Nyadeva,David
Shahad,Lafisa
Tangariba,Emprez
Amfoh,Stephanie
Pokuaa,Rabiatu
Bobodeni,Najia
Adjekum,Hamidu
Martey,Mumuni
Agbemafle,Aminu
Normegbor,Belawu
Kwagbedzi,Zaratu
Akorli,Zeinab
Dzidula,Afua
Mikordorme,Anyaabila
Fordjour,Yakubu
Tampuri,Caesar
Salia,Memunatu
Baidoo,Victoria
Yajime,Lydia
Ankomah,Osborn
Adinyira,Mansah
Dahamani,Asantewaa
Sarpong,Joy
Awaga,Oti
Afful,Janet
Akpo,Dansowaa
Hudu,Rinn
Wumbei,Anthony
Mahamoud,Kekeli
Ali,Pious
Annang,Rejoice
Abugah,Clemence
Okpanul,Abota
Zenabu,Benjamin
Brown,Nana
Odonkor,Sarkodie
Addo,Jerry
Abdula-Rahaman,Wisdom
Akyerem,Vida
Entsiwah,Boakye
Yaw,Ishmeal
Fiadu,Aniah
Jabab Nlenman,Evelyn
Awal,Afia
Ziblim,Raymond
Aminu,Helena
Bako,Helina
Yahaya,Debora
Ablenyi,Lopez
Inusah,Godwin
Adoma,Osubroni
Asantewaa,Margaret
Arhin,Salima
Awembila,Mershack
Amedzro,Baffour
Ahutsi,Bernard
Lartey,Nyamekye
Oforiwaa,Rahanatu
Ashiangbor,Edward
Gmayoam,Millicent
Kumih,Elizabeth
Agbodzalu,Habiba
Akosua,Desmond
Stephen,Blessing
Novigbor,Cecilia
Teye,Doris
Derkye,Gabriel
Linlaba,Obed
Fiase,Hannah
Bruce,Botwe
Ashia,Philip
Fekpe,Vorsah
Odunayo,Paul
Acheampong,Anita
Wemenyo,Melipa
Akaribo,Hayford
Adah,Halidu
Tettey,Adwoa
Zobila,Ekow
Davie,Seth
Asimah,Brandford
Neindow,Ose
Peprah,Hanson
Gadoseh,Zuwaira
Bakar,Alisa
Kwadwo,Mariyatu
Amponsah,Judith
Ayambire,Fuseini
Agbomadzi,Pognaa
Adade,Dokrugu
Tagoe,Linda
Turkson,Azeez
Agyapong,Jemila
Abbey,Baako
Kissi,Nurideen
Quartey,Alimatu
Storminger,Tijani
Terkpertey,Azumah
Agbetey,Wuni
Kuma,Saeed
Mussah,Saaka
Ako,Kweku
Kpabitey,Faiza
Quarshie,Yorkpani
Akubiri,Agnes
Quansah,Alhaji
Wobit,Daah
Dalatey,Shaibu
Effah,Rabik
Ayittey,Lariba
Dayie,Katey
Osei Bonsu,Christopher
Amemornu,Kow
Dogba,Kelvin
Quame,Brown
Boadu,Adisah
Gonja,Ezekiel
Alidu,Calister
Awuku,Nimong
Okley,Leticia
Atta,Dazuhu
Brobbey,Aisha
Tekutey,Fulera
Abrafi,Nelson
Ehoneah,Iliasu
Arkoh,Kwabla
Ayaba,Lemuel
Ndeh,Promise
Ekpe,Osuman
Agbenyeavor,Atakora
Baffo,Cessar
Akoto,Emelia
Abanga,Darko
Abrokwa,Shallot
Kon,Stancy
Eshun,Leslie
Dodzi,Sampson
Yeboah,Charity
Twumasi,Sadam
Omanano,Katiama
Noora,Sakina
Berimah,Sandra
Boakye,Larry
Gaane,Sheriff
Torma,Gilpag
Adutwumwaa,Jaado
Ayamgah,Memem
Tawiah,Haruna
Donkoh,Lia
Sackey,Sirina
Asumani,Fred
Ametepe,Derrick
Abdul Zakari,Olivia
Usman,Wahab
Kpe,Grace
Ekem,Kojo
Kpornuglo,Mustapha
Suleiman,Mawusi
Bukari,Tepoabila
Nadi,Koligu
Dire-Inyong,Rahi
Abdullai,Nafisah
Osei-Boateng,Denila
Kaku,Boare
Asiedua,Tuley
Bukadi,Lamisi
Ahadzi Djan,Namsa
Oladiti,Gbanbon
Domeher,Wise
Haruna,Erica
Musa,Stella
Habib,Jawuhada
Asumah,Florence
Issahaku,Geneviene
Salifu,Aminatu
Simsah,Fusheta
Razak,Hawah
Essel,Nancy
Ajara,Mayina
Yeboaa,Linus
Ndabe,Katumi
Badu,Nbabey
Baah,Yirigutey
Agbley,Karimu
Ameyaw,Dititub
Tchabi,Dorcas
